String,Count1,Count2,Encoded,Padded,Prob1,Prob2,NonZeroLength
GyGy(GxGxGyGxGyGy),893,107,"[2, 2, 1, 1, 2, 1, 2, 2]",[2 2 1 1 2 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0],0.893,0.107,8
Gy(GiGyGx)^2Gy,194,806,"[2, 3, 2, 1, 3, 2, 1, 2]",[2 3 2 1 3 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0],0.194,0.806,8
GyGy(GxGxGy)^2,402,598,"[2, 2, 1, 1, 2, 1, 1, 2]",[2 2 1 1 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0],0.402,0.598,8
GxGx(GiGyGx)^2,209,791,"[1, 1, 3, 2, 1, 3, 2, 1]",[1 1 3 2 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0],0.209,0.791,8
GyGy(Gy)^4GxGx,586,414,"[2, 2, 2, 2, 2, 2, 1, 1]",[2 2 2 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.586,0.414,8
GxGx(Gy)^4GxGx,40,960,"[1, 1, 2, 2, 2, 2, 1, 1]",[1 1 2 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.04,0.96,8
GyGy(Gx)^4GxGx,223,777,"[2, 2, 1, 1, 1, 1, 1, 1]",[2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.223,0.777,8
GxGx(Gx)^4GxGx,872,128,"[1, 1, 1, 1, 1, 1, 1, 1]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.872,0.128,8
GyGy(Gi)^4GxGx,564,436,"[2, 2, 3, 3, 3, 3, 1, 1]",[2 2 3 3 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.564,0.436,8
(Gy)^8,1000,0,"[2, 2, 2, 2, 2, 2, 2, 2]",[2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,8
GxGx(Gi)^4GxGx,40,960,"[1, 1, 3, 3, 3, 3, 1, 1]",[1 1 3 3 3 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.04,0.96,8
(Gi)^8,1000,0,"[3, 3, 3, 3, 3, 3, 3, 3]",[3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0],1.0,0.0,8
