String,Count_1,Count_2,Encoded,Padded,Prob_1,Prob_2
GxGx(Gi)^8,492,508,"1, 1, 3, 3, 3, 3, 3, 3, 3, 3","1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.492,0.508
GxGx(Gi)^8Gy,490,510,"1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2","1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.49,0.51
GxGx(Gi)^8GxGx,0,1000,"1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1","1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi)^8,480,520,"2, 3, 3, 3, 3, 3, 3, 3, 3","2, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.48,0.52
Gy(Gi)^8Gy,0,1000,"2, 3, 3, 3, 3, 3, 3, 3, 3, 2","2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
Gy(Gi)^8GxGx,487,513,"2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1","2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.487,0.513
(Gx)^8Gy,505,495,"1, 1, 1, 1, 1, 1, 1, 1, 2","1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.505,0.495
(Gx)^8GxGx,517,483,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.517,0.483
GyGy(Gx)^8,0,1000,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.0,1.0
GyGy(Gx)^8Gy,509,491,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.509,0.491
